origin,destination
ABANCOURT,AMIENS
ABANCOURT,LILLERS
ABBEVILLE,BOULOGNE VILLE
ABBEVILLE,DOUAI
ACHIET,LA BASSEE
AGAY,ANTIBES
AGAY,AVIGNON CENTRE
AGAY,BIOT
AGAY,CANNES
AGAY,CANNES LA BOCCA
AGAY,GAP
AGAY,GOLFE JUAN VALLAURIS
AGAY,GRASSE
AGAY,JUAN LES PINS
AGAY,L' ISLE S SORGUE FONTAINE
AGAY,MANDELIEU LA NAPOULE
AGAY,ORANGE
AGAY,RANGUIN
AGAY,THEOULE SUR MER
AGDE,AUMONT AUBRAC
AGDE,MARVEJOLS
AGDE,MENDE
AGDE,RIVESALTES
AGEN,AIGUILLON LOT ET GARONNE
AGEN,AMBAZAC
AGEN,ARTIX
AGEN,ASTAFFORT
AGEN,BAYONNE
AGEN,BELLAC
AGEN,BELVES
AGEN,BIARRITZ
AGEN,BRIVE LA GAILLARDE
AGEN,BUSSIERE GALANT
AGEN,CAMBO LES BAINS
AGEN,COARRAZE NAY
AGEN,CONDAT LE LARDIN
AGEN,DAX
AGEN,EGLETONS
AGEN,EYMOUTIERS VASSIVIERE
AGEN,FUMEL
AGEN,GUERET
AGEN,GUETHARY
AGEN,HENDAYE
AGEN,LA COQUILLE
AGEN,LA SOUTERRAINE
AGEN,LABENNE
AGEN,LAROQUE
AGEN,LE BUGUE
AGEN,LE BUISSON
AGEN,LES DEUX JUMEAUX (64)
AGEN,LES EYZIES
AGEN,LIMOGES BENEDICTINS
AGEN,MARMANDE
AGEN,MAULEON
AGEN,MONSEMPRON LIBOS
AGEN,MONT DE MARSAN
AGEN,MONTPON MENESTEROL
AGEN,MORCENX
AGEN,MUSSIDAN
AGEN,NANTIAT
AGEN,NEXON
AGEN,NIVERSAC
AGEN,OLORON STE MARIE
AGEN,ORTHEZ
AGEN,PAU
AGEN,PENNE LOT ET GARONNE
AGEN,PERIGUEUX
AGEN,PONT DU CASSE
AGEN,PORT STE MARIE
AGEN,PUYOO
AGEN,SAINT ASTIER
AGEN,SAINT JEAN DE LUZ CIBOURE
AGEN,SAINT JEAN PIED DE PORT
AGEN,SAINT JUNIEN
AGEN,SAINT PALAIS
AGEN,SAINT VINCENT DE TYROSSE
AGEN,SAINTE BAZEILLE
AGEN,SARLAT
AGEN,SAUVETERRE LA LEMANCE
AGEN,SIORAC EN PERIGORD
AGEN,TERRASSON
AGEN,THENON
AGEN,THIVIERS
AGEN,TONNEINS
AGEN,TRENTELS LADIGNAC
AGEN,TULLE
AGEN,USSEL
AGEN,UZERCHE
AGEN,VIEILLEVILLE
AGONAC,BELVES
AGONAC,CHATEAU L'EVEQUE
AGONAC,SARLAT
AIGREFEUILLE LE THOU,CHATELLERAULT
AIGREFEUILLE LE THOU,JONZAC
AIGREFEUILLE LE THOU,LIMOGES BENEDICTINS
AIGREFEUILLE LE THOU,LUSIGNAN
AIGREFEUILLE LE THOU,LUSSAC LES CHATEAUX
AIGREFEUILLE LE THOU,MAUZE
AIGREFEUILLE LE THOU,NIORT
AIGREFEUILLE LE THOU,POITIERS
AIGREFEUILLE LE THOU,RUFFEC CHARENTE
AIGREFEUILLE LE THOU,SAINT MAIXENT DEUX SEVRES
AIGREFEUILLE LE THOU,SAINTES
AIGREFEUILLE LE THOU,SURGERES
AIGREFEUILLE LE THOU,USSEL
AIGUEBELLE,AIME LA PLAGNE
