UIC,gares,insee,dep,lat long,geo-2
87313759,Abancourt,60001,60,49.6928987942,1.76923817093
87481614,Abbaretz,44001,44,47.5560249472,-1.49321867944
87317362,Abbeville,80001,80,50.1084616727,1.83211864396
87313882,Ablaincourt-Pressoir,80002,80,49.841541065,2.82416349698
87545269,Ablon-sur-Seine,94001,94,48.7246577496,2.42125855928
87381657,Achères,78005,78,48.9717451465,2.08834204872
87342048,Achiet-le-Grand,62005,62,50.1327489991,2.77894732819
87781278,Agde,34003,34,43.3094146088,3.48417750399
87586008,Agen,47001,47,44.2028263068,0.625731477011
87595157,Agonac,24002,24,45.2815954739,0.74537081241
87597708,Ahun,23001,23,46.0863461912,2.02439261426
87485193,Aigrefeuille-d'Aunis,17003,17,46.1168519019,-0.944445214969
87741421,Aiguebelette-le-Lac,73001,73,45.5473449577,5.8139703237
87734129,Aigueperse,63001,63,46.0143287397,3.20206258881
87775858,Aigues-Mortes,30003,30,43.550541903,4.18418845011
87586693,Aiguillon,47004,47,44.3011585607,0.357815772486
87313221,Ailly-sur-Noye,80010,80,49.7465944286,2.34656681223
87313098,Ailly-sur-Somme,80011,80,49.9131479103,2.1863179339
87775833,Aimargues,30006,30,43.6718569347,4.20389511258
87741769,Aime-la-Plagne,73006,73,45.5664653745,6.6135738609
87712620,Aiserey,21005,21,47.1727508402,5.16910302479
87713636,Aiserey,21005,21,47.1727508402,5.16910302479
87319012,Aix-en-Provence,13001,13,43.5361127497,5.39863003956
87751404,Aix-en-Provence,13001,13,43.5361127497,5.39863003956
87741132,Aix-les-Bains,73008,73,45.6968800218,5.90393943787
87592667,Aixe-sur-Vienne,87001,87,45.7981498526,1.13174094165
87313072,Albert,80016,80,50.0038987592,2.64883843852
87741645,Albertville,73011,73,45.668298395,6.40433206702
87615005,Albi,81004,81,43.9258474519,2.1474504351
87615195,Albi,81004,81,43.9258474519,2.1474504351
87613398,Albias,82002,82,44.0814534148,1.44893363611
87721266,Albigny-sur-Saône,69003,69,45.8640991035,4.83063189908
87444711,Alençon,61001,61,48.4315176317,0.0916164369507
87775288,Alès,30007,30,44.1251287581,4.08856772515
87681155,Alfortville,94002,94,48.7961361979,2.42140629177
87763029,Alixan,26004,26,44.9821911072,5.0170737917
87594234,Allassac,19005,19,45.2558388152,1.46944467001
87783647,Allenc,48003,48,44.5520357537,3.67655443548
87783654,Allenc,48003,48,44.5520357537,3.67655443548
87731885,Alleyras,43005,43,44.9065562978,3.68021493956
87182238,Altkirch,68004,68,47.621012482,7.2445549561
87491274,Ambarès-et-Lagrave,33003,33,44.9443196914,-0.500834844175
87584755,Ambarès-et-Lagrave,33003,33,44.9443196914,-0.500834844175
87592311,Ambazac,87002,87,45.9534464324,1.39947201791
87743716,Ambérieu-en-Bugey,1004,1,45.9610491067,5.37227744048
87574343,Amboise,37003,37,47.391659989,1.00024020046
87743146,Ambronay,1007,1,46.0056911019,5.35774716479
87313080,Amiens,80021,80,49.9004100875,2.28970492624
87313874,Amiens,80021,80,49.9004100875,2.28970492624
87171744,Amifontaine,2013,2,49.4986378775,3.92288133222
87394205,Amilly,28006,28,48.4423742497,1.40690986126
87191742,Amnéville,57019,57,49.2408092509,6.1011635957
87721035,Amplepuis,69006,69,45.9647318475,4.32841080146
87481192,Ancenis-Saint-Géréon,44003,44,47.3798971952,-1.18949401834
87172858,Anchamps,8011,8,49.9250112932,4.66577640738
87575332,Anché,86003,86,46.3496747515,0.270462784096
87192419,Ancy-Dornot,57021,57,49.0632271641,6.04563273358
87715102,Andelot-en-Montagne,39009,39,46.8593077564,5.92873531351
87381483,Andrésy,78015,78,48.9815833574,2.04971689671
87381491,Andrésy,78015,78,48.9815833574,2.04971689671
87726216,Andrézieux-Bouthéon,42005,42,45.5351619759,4.27685762653
87726406,Andrézieux-Bouthéon,42005,42,45.5351619759,4.27685762653
87484006,Angers,49007,49,47.4766581876,-0.55622069869
87484048,Angers,49007,49,47.4766581876,-0.55622069869
87543090,Angerville,91016,91,48.3095733911,2.00556877493
87583005,Angoulême,16015,16,45.6473702039,0.145142190272
87485102,Angoulins,17010,17,46.1068091632,-1.10571797763
87746008,Annecy,74010,74,45.9016448573,6.11809714619
87746206,Annecy,74010,74,45.9016448573,6.11809714619
87745497,Annemasse,74012,74,46.1910827095,6.24348290459
87295055,Anor,59012,59,49.9951408828,4.1181085149
87721324,Anse,69009,69,45.9425341235,4.70819854844
87757666,Antibes,6004,6,43.587777215,7.10519709609
87757674,Antibes,6004,6,43.587777215,7.10519709609
87546317,Antony,92002,92,48.7499868272,2.29902601651
87317255,Anvin,62036,62,50.450179006,2.25746571787
87191643,Apach,57026,57,49.460153566,6.38613719816
87296459,Appilly,60021,60,49.5828068147,3.12156109832
87582726,Arbanats,33007,33,44.6712006015,-0.402392337765
87718155,Arbois,39013,39,46.8944036026,5.77306913451
87718841,Arc-et-Senans,25021,25,47.0354331078,5.76978974836
87582668,Arcachon,33009,33,44.6534113261,-1.17497898158
87144410,Arches,88011,88,48.113514261,6.51386711846
87281410,Ardres,62038,62,50.8770607643,1.98382531619
87671479,Arengosse,40006,40,44.0337472017,-0.787162283914
87784231,Argelès-sur-Mer,66008,66,42.5350864699,3.02421811736
87444539,Argentan,61006,61,48.7325268376,-0.0135065445502
87381798,Argenteuil,95018,95,48.9515316628,2.24038938643
87381848,Argenteuil,95018,95,48.9515316628,2.24038938643
87597120,Argenton-sur-Creuse,36006,36,46.5787243592,1.49260603339
87743757,Argis,1017,1,45.9335052969,5.48259330571
87753657,Arles,13004,13,43.5469384838,4.66180044264
87345421,Arleux,59015,59,50.2818491887,3.11275431529
87286146,Armentières,59017,59,50.6912605805,2.87999914162
87396549,Arnage,72008,72,47.928652729,0.191183216686
87281121,Arnèke,59018,59,50.8408776715,2.41838990524
87276220,Arnouville,95019,95,48.9860844888,2.41713855184
87545467,Arpajon,91021,91,48.5903034083,2.24395559747
