gares,UIC,2015,2016,2017,2018,latitude,longitude
PARIS GARE DU NORD,87271007,262843175,269159581326,279352628,277300314,48.880185,2.3551509999999998
PARIS SAINT LAZARE,87384008,135610411,137351658308,138589767,137097020,48.876242,2.3253310000000003
PARIS GARE DE LYON HALL 1 & 2,87686006,128396929,128748430202,132960956,130031664,48.844888,2.37352
PARIS MONTPARNASSE HALL 1 & 2,87391003,64503031,639089337324,66811223,67924299,48.841172,2.3205139999999997
LYON PART DIEU,87723197,51391581,515744192477,55300949,51647336,45.760559,4.859355
PARIS EST,87113001,44081786,446469305639,47342720,47757131,48.876742,2.3584240000000003
HAUSSMANN SAINT LAZARE,87281899,46197949,4760623854,47974056,47461299,48.87478,2.32862
MAGENTA,87281873,45560663,4573052722,45245622,43958116,48.87986,2.35835
JUVISY,87545244,38747143,400744940418,41022643,41423348,48.689170000000004,2.38267
SAINT DENIS,87271015,32005990,334101681537,35098916,35617897,48.9354933,2.3459524
CLICHY LEVALLOIS,87381129,19828812,23127498814,26725752,30233580,48.89678,2.2982
SAINT MICHEL NOTRE DAME,87547315,33003110,3198026974,30766769,29171245,48.85348,2.34545
LA DEFENSE,87382218,28395822,286381510535,28749246,28284885,48.89308,2.23763
BIBLIOTHEQUE FRANCOIS MITTERRAND,87328328,27926769,281538588909,28540419,28074534,48.829840000000004,2.37684
LILLE FLANDRES,87286005,27218242,266934640932,28686420,27947956,50.636577,3.06987
AULNAY SOUS BOIS,87271411,23829397,24497746084,25205132,25200039,48.93179,2.49431
ERMONT EAUBONNE,87276055,21190876,21694571479,22292293,23068806,48.98033220000001,2.2712293999999997
STRASBOURG,87212027,20486395,207557168057,22459880,22663452,48.584967,7.734584
PARIS AUSTERLITZ,87547000,24147384,23908249114,24037704,22544728,48.842285,2.364891
ASNIERES SUR SEINE,87381137,11982018,147741667496,17501040,21361941,48.9058,2.28324
MARSEILLE SAINT CHARLES,87751008,21346520,21124633683,22539825,21349663,43.302665999999995,5.380407
BORDEAUX SAINT JEAN,87581009,15665374,158420818675,19453635,20884401,44.825873,-0.556697
VERSAILLES CHANTIERS,87393009,20722826,205109045391,20311117,20095622,48.795826399999996,2.1358827000000002
VILLENEUVE SAINT GEORGES,87681825,18012745,181695434587,18308635,18119535,48.730113,2.446011
GARGES SARCELLES,87276196,17191818,175938043984,17970672,18013273,48.97663,2.39078
LE BOURGET,87271395,12741129,13720438351,17241647,18003113,48.93096,2.42571
VAL DE FONTENAY,87113712,17499363,17683219403,17927682,17801782,48.854238,2.489097
NOISY LE SEC,87113217,16909320,1710055664,17517519,17642666,48.896288,2.459306
MAISONS ALFORT ALFORTVILLE,87681155,14171754,151364693732,16101423,16815196,48.802071000000005,2.426977
NANTES,87481002,15137880,155616392944,16729383,16635263,47.216148,-1.5423559999999998
ARGENTEUIL,87381848,15026192,151374873138,15302030,15993805,48.94686,2.25727
LA PLAINE STADE DE FRANCE SAINT DENIS AUBERVILLIERS,87164798,14384541,149938627833,15580172,15861776,48.91839,2.3625700000000003
HOUILLES CARRIERES SUR SEINE,87386409,13852467,143832500447,14916380,15199239,48.9199636,2.1850828
RENNES,87471003,13677597,136397948431,15046189,15099483,48.103517,-1.6727439999999998
AEROPORT CHARLES DE GAULLE 2 TGV,87271494,13000079,135387323766,14632947,14865895,49.003652,2.5708919999999997
LA COURNEUVE AUBERVILLIERS,87271304,13125517,137698956792,14412877,14831216,48.9242,2.38443
MELUN,87682005,12762396,131956507622,13496514,13629986,48.527662,2.655404
CHOISY LE ROI,87545285,14260747,141740973733,14029876,13618078,48.763974,2.411102
TOULOUSE MATABIAU,87611004,15400484,146758791415,15860611,13403438,43.611206,1.453616
VILLIERS LE BEL GONESSE ARNOUVILLE,87276220,12047909,124767231355,12858012,13027794,48.994175,2.4162288
BONDY,87113407,13139723,129874283573,13019242,12822042,48.894208,2.4786
