gares,UIC,2015,2016,2017,2018,latitude,longitude
PARIS GARE DU NORD,87271007,262843175,269159581,279352628,277300314,48.880185,2.3551509999999998
PARIS SAINT LAZARE,87384008,135610411,137351658,138589767,137097020,48.876242,2.3253310000000003
PARIS GARE DE LYON HALL 1 & 2,87686006,128396929,128748430,132960956,130031664,48.844888,2.37352
PARIS MONTPARNASSE HALL 1 & 2,87391003,64503031,63908934,66811223,67924299,48.841172,2.3205139999999997
LYON PART DIEU,87723197,51391581,51574419,55300949,51647336,45.760559,4.859355
PARIS EST,87113001,44081786,44646931,47342720,47757131,48.876742,2.3584240000000003
LILLE FLANDRES,87286005,27218242,26693464,28686420,27947956,50.636577,3.06987
STRASBOURG,87212027,20486395,20755717,22459880,22663452,48.584967,7.734584
PARIS AUSTERLITZ,87547000,24147384,23908249,24037704,22544728,48.842285,2.364891
MARSEILLE SAINT CHARLES,87751008,21346520,21124634,22539825,21349663,43.302665999999995,5.380407
BORDEAUX SAINT JEAN,87581009,15665374,15842082,19453635,20884401,44.825873,-0.556697
VERSAILLES CHANTIERS,87393009,20722826,20510905,20311117,20095622,48.795826399999996,2.1358827000000002
NANTES,87481002,15137880,15561639,16729383,16635263,47.216148,-1.5423559999999998
RENNES,87471003,13677597,13639795,15046189,15099483,48.103517,-1.6727439999999998
MELUN,87682005,12762396,13195651,13496514,13629986,48.527662,2.655404
TOULOUSE MATABIAU,87611004,15400484,14675879,15860611,13403438,43.611206,1.453616
SAINT QUENTIN EN YVELINES MONTIGNY LE BRETONNEUX,87393843,13735918,13277650,12790514,12183270,48.786570000000005,2.04523
NANCY,87141002,11997104,11565248,11956406,11488407,48.689861,6.174583
MONTPELLIER SAINT ROCH,87773002,12719479,12906884,13758287,11307349,43.604738,3.880674
LILLE EUROPE,87223263,11140100,11084365,11895343,11013702,50.639224,3.075796
METZ VILLE,87192039,10320600,10144812,10619071,10196963,49.109545000000004,6.176593
GRENOBLE,87747006,10872829,10424187,11052531,10164418,45.191493,5.714583999999999
NICE,87756056,9761445,9337435,10497727,9785058,43.704556,7.2619039999999995
ANGERS SAINT LAUD,87484006,8325666,8258537,8687733,8265338,47.464647,-0.55682
ROUEN RIVE DROITE,87411017,8396797,7947734,8284308,7957459,49.448764000000004,1.094087
DIJON,87713040,8323892,7974325,8388538,7835231,47.323370000000004,5.027208
LE MANS,87396002,8127475,7912660,8176901,7564034,47.995689,0.192578
LYON PERRACHE,87722025,7441559,7412715,7619399,7471166,45.748476000000004,4.8257330000000005
AMIENS,87313874,7195919,7066833,7361261,7087454,49.890746,2.312592
MULHOUSE,87182063,6601410,6508448,6808851,6651754,47.742224,7.342396000000001
COLMAR,87182014,5784270,5789118,6270745,6372491,48.073201,7.346967
NIMES,87775007,6323409,6562783,6841918,6116249,43.832291,4.365844999999999
TOURS,87571000,5944257,5801365,6095416,5863480,47.389781,0.693703
CREIL,87276006,5961427,6148637,6340007,5758902,49.263757,2.4692439
AVIGNON TGV,87318964,5486974,5379906,5460402,5176745,43.921586,4.786079
ARRAS,87342014,5182086,5172885,5452299,5075699,50.286673,2.781942
TOULON,87755009,5371539,5402435,5806743,4977632,43.128370000000004,5.929293
REIMS,87171009,5110555,4936160,5218502,4793596,49.258978000000006,4.0244349999999995
CANNES,87757625,4514123,4380099,4878441,4434290,43.553839,7.019682
CLERMONT FERRAND,87734004,4647177,4373078,4688198,4359247,45.778945,3.100543
SAINT PIERRE DES CORPS,87571240,4446995,4441880,4621459,4321292,47.386099,0.72355
CHAMBERY CHALLES LES EAUX,87741009,4728250,4530295,4726917,4308759,45.571302,5.919547000000001
ORLEANS,87543009,4446767,4258867,4601071,4295598,47.907959999999996,1.904666
POITIERS,87575001,4307757,4132262,4492246,4239924,46.582275,0.333241
SAINT ETIENNE CHATEAUCREUX,87726000,3993621,4203214,4514547,4233914,45.443366,4.399722
MANTES LA JOLIE,87381509,4285827,4474149,4580118,4160632,48.98984,1.70337
PARIS BERCY BOURGOGNE PAYS D'AUVERGNE,87686667,3968276,3842625,4154918,4133983,48.83917,2.38278
VALENCE TGV RHONE ALPES SUD,87763029,3845327,3900513,4213228,3853604,44.991545,4.978703
VALENCIENNES,87343004,3965073,3836995,4056110,3851104,50.363259,3.517115
