gares,latitue,longitude
Gare de Aéropt-C-de-Gaulle-TGV,49.00401756,2.57158758
Gare de Agde,43.31757369,3.46602019
Gare de Agen,44.20797206,0.62090454
Gare de Aime-la-Plagne,45.55436807,6.64888363
Gare de Aix-en-Provence-TGV,43.45515093,5.31726436
Gare de Aix-les-Bains-le-Revard,45.68786249,5.90934966
Gare de Albertville,45.67318392,6.38323835
Gare de Ancenis,47.36945783,-1.17760826
Gare de Angers-St-Laud,47.46443417,-0.55694922
Gare de Angoulême,45.65393498,0.16452848
Gare de Annecy,45.90205904,6.12181945
Gare de Annemasse,46.19922998,6.23638776
Gare de Antibes,43.58578911,7.11951629
Gare de Arcachon,44.65891706,-1.16536843
Gare de Arles,43.6848436,4.63201884
Gare de Arras,50.28681562,2.78112647
Gare de Auray,47.68018937,-2.99999862
Gare de Avignon-Centre,43.94187716,4.80526228
Gare de Avignon-TGV,43.92196386,4.78615444
Gare de Baden-Baden,48.79030255,8.191194
Gare de Bar-le-Duc,48.77363051,5.16701612
Gare de Bardonecchia-Stazione,45.07642558,6.709635
Gare de Bayonne,43.4967594,-1.47039808
Gare de Beaune,47.0230407,4.8487235
Gare de Belfort-Montbéliard-TGV,47.58659149,6.89903128
Gare de Bellegarde-s-V. Gare,46.10970399,5.82364602
Gare de Besançon-Franche-Comté,47.30747111,5.95475873
Gare de Besançon-Viotte,47.24703813,6.02191203
Gare de Béthune,50.52143359,2.64039821
Gare de Béziers,43.33622529,3.21921804
Gare de Biarritz,43.45937697,-1.54601123
Gare de Biganos-Facture,44.63748155,-0.96602054
Gare de Bordeaux-St-Jean,44.82653979,-0.55619406
Gare de Boulogne Ville,50.71558518,1.60980589
Gare de Bourg-St-Maurice,45.61852135,6.77148144
Gare de Brest,48.38808306,-4.47891795
Gare de Bruxelles-M./Brussel-Z.,50.83527508,4.33582771
Gare de Calais Fréthun,50.9012626,1.81102746
Gare de Calais Ville,50.95345613,1.85074515
Gare de Cannes,43.55391311,7.01972542
Gare de Carcassonne,43.2177147,2.35188313
Gare de Chalon-sur-Saône,46.7815704,4.84348859
Gare de Châlons-en-Champagne,48.9555093,4.34895439
Gare de Chambéry-Chal.-les-Eaux,45.57103797,5.91980053
Gare de Champagne-Ardenne,49.21164026,3.98878814
Gare de Charleville-Mézières,49.76742007,4.7248489
Gare de Chatellerault,46.81856464,0.54921798
Gare de Cluses (Hte-Savoie),46.06141903,6.58268089
Gare de Colmar,48.07315381,7.34708413
Gare de Creusot - TGV (le),46.76530905,4.49938814
Gare de Croix Wasquehal,50.67854533,3.13809462
Gare de Daguerre,47.74254709,7.32436222
Gare de Dax,43.72066682,-1.05032404
Gare de Dijon-Ville,47.32340388,5.02727989
Gare de Dol,48.54297584,-1.75046978
Gare de Dole-Ville,47.09615509,5.48803607
Gare de Douai,50.37167529,3.08996131
Gare de Dunkerque,51.03043801,2.36894309
Gare de Emmendingen,48.11931353,7.84792177
Gare de Epinal,48.17807839,6.4415552
Gare de Etaples Le Touquet,50.51671737,1.64249653
Gare de Evian-les-Bains,46.39788911,6.57747248
Gare de Forbach,49.18949148,6.90184878
Gare de Frankfurt/M (Francfort),50.10725545,8.66408545
Gare de Freiburg-Breisgau,47.99778994,7.84158594
Gare de Futuroscope,46.66985027,0.37720187
Gare de Grenoble,45.1914627,5.71452957
Gare de Guingamp,48.55553565,-3.14271633
Gare de Hazebrouck,50.72504307,2.54152631
Gare de Hendaye,43.35299487,-1.78186851
Gare de Hyères,43.1088605,6.12419901
Gare de Kaiserslautern-Hbf,49.43630994,7.76858612
Gare de Karlsruhe-Hbf,48.99441342,8.40028628
Gare de La Baule-Escoublac,47.28862216,-2.38922534
Gare de La Roche-sur-Yon,46.67202495,-1.43568015
Gare de La Rochelle-Ville,46.15270103,-1.14530035
Gare de La Teste,44.63695908,-1.14297865
Gare de Lahr,48.34061018,7.83531079
Gare de Lamballe,48.46592233,-2.51148941
Gare de Landerneau,48.45383363,-4.25620875
Gare de Landry,45.57420509,6.73386623
Gare de Lannion,48.72695248,-3.46066861
Gare de Laval,48.07625188,-0.76093949
Gare de Le Croisic,47.28988946,-2.50728835
Gare de Le Havre,49.49265339,0.12483507
Gare de Le Mans,47.99558372,0.19214284
Gare de Le Pouliguen,47.28252436,-2.43315669
Gare de Lens,50.42676563,2.82819533
Gare de Les Arcs-Draguignan,43.45572852,6.48246201
Gare de Les Sables-d'Olonne,46.49998281,-1.7811549
Gare de Libourne,44.91588446,-0.23636765
Gare de Lille Europe,50.6388462,3.07574513
Gare de Lille Flandres,50.63620117,3.07102315
Gare de Lorient,47.75520333,-3.36634771
Gare de Lorraine-TGV,48.94779465,6.16977576
Gare de Lourdes,43.10042847,-0.04219186
Gare de Lunéville,48.58799369,6.49703457
Gare de Lutterbach Tram-train,47.75792329,7.27676396
Gare de Luxembourg,49.59965204,6.13400724
Gare de Lyon-Part-Dieu,45.7605853,4.85943505
Gare de Lyon-Perrache,45.74878519,4.82594103
Gare de Lyon-Saint-Exupery-Tgv,45.72092788,5.07583344
Gare de Mâcon-Loché-TGV,46.28289775,4.77894838
Gare de Mâcon-Ville,46.30265933,4.82514854
Gare de Mannheim-Hbf,49.47974384,8.47011276
Gare de Mantes-la-Jolie,48.98968735,1.70329418
Gare de Marne-la-Vallée-Chessy.,48.87059769,2.78287721
Gare de Marseille-St-Charles,43.30272986,5.38064989
Gare de Massy-Palaiseau,48.72490168,2.25659692
Gare de Massy-TGV,48.72602849,2.26156762
Gare de Menton,43.77440045,7.49316896
Gare de Metz-Ville,49.10978742,6.17719829
Gare de Meuse-TGV,48.97849058,5.27105413
Gare de Milano-Porta-Garibaldi,45.48496034,9.18758983
Gare de Miramas,43.58074022,4.99960212
Gare de Modane,45.19355829,6.65917769
Gare de Monaco-Monte-Carlo,43.73848311,7.41966996
Gare de Montauban-Ville-Bourbon,44.01463933,1.34197365
Gare de Montbard,47.61871969,4.33615203
Gare de Montélimar,44.55899966,4.74478967
Gare de Montpellier-Saint-Roch,43.60583439,3.88236031
Gare de Montpellier-Sud-France,43.59474378,3.92683548
Gare de Morlaix,48.5779789,-3.83276143
Gare de Moûtiers-Salins-Brides,45.48647746,6.53138203
Gare de Mulhouse,47.74179838,7.34284957
Gare de Mulhouse Dornach TT,47.74676172,7.30778993
Gare de Mulhouse Mairie,47.74934554,7.33562585
Gare de Mulhouse Porte Haute,47.74664882,7.33189716
Gare de Mulhouse Porte-Jeune,47.74958195,7.34019146
Gare de Mulhouse République,47.74563075,7.34279771
Gare de Mulhouse Tour Nessel,47.74506807,7.32862146
Gare de Mulhouse-Gare-Centrale,47.74179838,7.34284957
Gare de Mulhouse-Musées,47.74853897,7.29802886
Gare de Nancy-Ville,48.68978225,6.17427169
Gare de Nantes,47.21750472,-1.54192517
Gare de Narbonne,43.19103322,3.00595633
Gare de Nice-Ville,43.70471069,7.26178618
Gare de Nîmes,43.83229306,4.36583551
Gare de Nîmes Pont-du-Gard,43.81680671,4.5076804
Gare de Niort,46.31934516,-0.45439057
Gare de Novara,45.45074172,8.62495347
Gare de Offenburg,48.47646638,7.94672063
Gare de Orange,44.13730527,4.81949522
Gare de Orthez,43.4840995,-0.76762492
Gare de Oulx-Cesana-Clav-Sestri,45.03878828,6.83153926
Gare de Paris Gare du Nord,48.88013842,2.35488709
Gare de Paris-Est,48.87656977,2.35915061
Gare de Paris-Gare-de-Lyon,48.84492163,2.37346237
Gare de Paris-Montparnasse 1-2,48.84062983,2.31989439
Gare de Pau,43.29166733,-0.3696496
Gare de Perpignan,42.69607483,2.87961698
Gare de Plouaret-Trégor,48.60618896,-3.46681
Gare de Poitiers,46.58218335,0.33308432
Gare de Pornichet,47.2704847,-2.34473718
Gare de Quimper,47.99465835,-4.09210303
Gare de Quimperlé,47.86906313,-3.55301115
Gare de Rang du Fl. Verton Ber.,50.41581001,1.64807751
Gare de Redon,47.6517633,-2.08787664
Gare de Reims,49.25906626,4.02401739
Gare de Remiremont,48.01636734,6.59904066
Gare de Rennes,48.10351528,-1.67232664
Gare de Rethel,49.50457068,4.37028428
Gare de Rosporden,47.96018968,-3.83275774
Gare de Roubaix,50.69535226,3.16302118
Gare de Rouen-Rive-Droite,49.44903033,1.09415392
Gare de Saarbrücken /Sarrebruck,49.24067602,6.99098282
