origin,destination
71793150,71793150
71793150,87611004
71793150,87611707
71793150,87611723
71793150,87612002
71793150,87612010
71793150,87615013
71793150,87615039
71793150,87615054
71793150,87615112
71793150,87615286
71793150,87616011
71793150,87618215
71793150,87703975
71793150,87765008
71793150,87765354
71793150,87773002
71793150,87773200
71793150,87773408
71793150,87773424
71793150,87773432
71793150,87773457
71793150,87773465
71793150,87773515
71793150,87773531
71793150,87773556
71793150,87775007
71793150,87775023
71793150,87775072
71793150,87775098
71793150,87775106
71793150,87775114
71793150,87775130
71793150,87781005
71793150,87781062
71793150,87781088
71793150,87781104
71793150,87781161
71793150,87781260
71793150,87781278
71793150,87781294
71793150,87784009
71793150,87784157
71793150,87784173
71793150,87784207
71793150,87784231
71793150,87784256
71793150,87784264
71793150,87784298
71793150,87785006
80142893,80142893
80142893,80142901
80142893,80142919
80142893,80142927
80142893,80143099
80142893,87212027
80142893,87338525
80142901,80142893
80142901,80142901
80142901,80142919
80142901,80142927
80142901,80143099
80142901,87212027
80142901,87338525
80142919,80142893
80142919,80142901
80142919,80142919
80142919,80142927
80142919,80143099
80142919,87212027
80142919,87338525
80142927,80142893
80142927,80142901
80142927,80142919
80142927,80142927
80142927,80143099
80142927,87212027
80142927,87338525
80143099,80142893
80143099,80142901
80143099,80142919
80143099,80142927
80143099,80143099
80143099,87212027
80143099,87338525
80144139,80144139
80144139,80144154
80144139,87182063
80144139,87182840
80144154,80144139
80144154,80144154
80144154,87182063
80144154,87182840
80191031,80191031
80191031,80191049
80191031,80191064
80191031,80646133
80191031,80646141
80191031,87212464
80191049,80191031
80191049,80191049
80191049,80191064
80191049,80646133
80191049,80646141
80191049,87212464
80191064,80191031
80191064,80191049
80191064,80191064
80191064,80646133
80191064,80646141
80191064,87212464
80194035,80194035
80194035,80194266
80194035,80194324
80194035,87213470
80194266,80194035
80194266,80194266
80194266,80194324
80194266,87213470
80194324,80194035
80194324,80194266
80194324,80194324
80194324,87213470
80251819,80251819
80251819,80251850
80251819,80251967
80251819,87191007
80251819,87191601
80251819,87191619
80251819,87191627
80251819,87191635
80251819,87191643
80251819,87192039
80251850,80251819
80251850,80251850
80251850,80251967
80251850,87191007
80251850,87191601
80251850,87191619
80251850,87191627
80251850,87191635
80251850,87191643
80251850,87192039
80251967,80251819
80251967,80251850
80251967,80251967
80251967,87191007
80251967,87191601
80251967,87191619
80251967,87191627
80251967,87191635
80251967,87191643
80251967,87192039
80253914,80253914
80253914,87192039
80253914,87192237
80253914,87193003
80253914,87193250
80253914,87193276
80253914,87193318
80253914,87193342
80253914,87193359
80253914,87193383
80253914,87193615
80253914,87193664
80253914,87212027
80253914,87212142
80253914,87213165
80253914,87213744
80253914,87213785
80253914,87215632
80253914,87215665
80253914,87215699
80253914,87338525
80646133,80191031
80646133,80191049
80646133,80191064
80646133,80646133
80646133,80646141
80646133,87212464
80646141,80191031
80646141,80191049
80646141,80191064
80646141,80646133
80646141,80646141
80646141,87212464
82001000,82001000
82001000,82002370
82001000,82002501
82001000,82006030
82001000,82007104
82001000,82007146
82001000,82007187
82001000,82009300
82001000,87141002
82001000,87141077
82001000,87141085
82001000,87141788
82001000,87141796
82001000,87141804
82001000,87141812
82001000,87141820
82001000,87191007
82001000,87191106
82001000,87191114
82001000,87191130
82001000,87191163
82001000,87192039
82001000,87192070
82001000,87192088
82001000,87192401
82001000,87192419
82001000,87192427
82001000,87192435
82001000,87192468
82001000,87192476
82001000,87192658
82001000,87192666
82001000,87194001
82001000,87194274
82002370,82001000
82002370,82002370
82002370,82007104
82002370,82007146
82002370,82007187
82002370,82009300
82002370,87141002
82002370,87141820
82002370,87192435
82002370,87192658
82002370,87192666
82002370,87194001
82002370,87194274
82002501,82001000
82002501,82002501
82002501,82006030
82002501,87141002
82002501,87141077
82002501,87141085
82002501,87141788
82002501,87141796
82002501,87141804
82002501,87141812
82002501,87141820
82002501,87191007
82002501,87191106
82002501,87191114
82002501,87191130
82002501,87191163
82002501,87192039
82002501,87192070
82002501,87192088
82002501,87192401
82002501,87192419
82002501,87192427
82002501,87192468
82002501,87192476
82006030,82001000
82006030,82002501
82006030,82006030
82006030,87141002
82006030,87141077
82006030,87141085
82006030,87141788
82006030,87141796
82006030,87141804
82006030,87141812
82006030,87141820
82006030,87191007
82006030,87191106
82006030,87191114
82006030,87191130
82006030,87191163
82006030,87192039
82006030,87192070
82006030,87192088
82006030,87192401
82006030,87192419
82006030,87192427
82006030,87192468
82006030,87192476
82007104,82001000
82007104,82002370
82007104,82007104
82007104,82007146
82007104,82007187
82007104,82009300
82007104,87141002
82007104,87141820
82007104,87192435
82007104,87192658
82007104,87192666
82007104,87194001
82007104,87194274
82007146,82001000
82007146,82002370
82007146,82007104
82007146,82007146
82007146,82007187
82007146,82009300
82007146,87141002
82007146,87141820
82007146,87192435
82007146,87192658
82007146,87192666
82007146,87194001
82007146,87194274
82007187,82001000
82007187,82002370
82007187,82007104
82007187,82007146
82007187,82007187
82007187,82009300
82007187,87141002
82007187,87141820
82007187,87192435
82007187,87192658
82007187,87192666
82007187,87194001
82007187,87194274
82009300,82001000
82009300,82002370
82009300,82007104
82009300,82007146
82009300,82007187
82009300,82009300
82009300,87141002
82009300,87141820
82009300,87192435
82009300,87192658
82009300,87192666
82009300,87194001
82009300,87194274
83045013,83045013
83045013,87401323
83045013,87755447
83045013,87756056
83045013,87756254
83045013,87756304
83045013,87756320
83045013,87756338
83045013,87756346
83045013,87756353
83045013,87756361
83045013,87756379
83045013,87756387
83045013,87756395
83045013,87756403
83045013,87756460
83045013,87756478
83045013,87756486
83045013,87756494
83045013,87757500
83045013,87757526
83045013,87757534
83045013,87757542
83045013,87757559
83045013,87757567
83045013,87757575
83045013,87757583
83045013,87757591
83045013,87757617
83045013,87757625
83045013,87757641
83045013,87757666
83045013,87757674
83045013,87757690
83045013,87757724
83045013,87757732
83045013,87757740
83045013,87757757
85000109,85000109
85000109,87181016
85000109,87182014
85000109,87182055
85000109,87182063
85000109,87182071
85000109,87182089
85000109,87182105
85000109,87182113
85000109,87182139
85000109,87182329
85000109,87182337
85000109,87182667
85000109,87182691
85000109,87182709
85000109,87182717
85000109,87182725
85000109,87187930
85000109,87212027
85000109,87212258
85000109,87212266
85000109,87214056
85000109,87214122
85000109,87214148
85000109,87659854
85000109,87659862
85000109,87659870
85001057,85001057
85001057,85001099
85001057,85001206
85001057,85001214
85001057,85001222
85001057,85001230
85001057,85001248
85001057,85001255
85001057,85001263
85001057,85001271
85001057,85001289
85001057,85001412
85001057,85001446
85001057,85001594
85001057,85043000
85001057,87184002
85001057,87184408
85001057,87184424
85001057,87184432
85001057,87184440
85001057,87700146
85001057,87700153
85001057,87715581
85001099,85001057
85001099,85001099
85001099,85001206
85001099,85001214
85001099,85001222
85001099,85001230
85001099,85001248
85001099,85001255
85001099,85001263
85001099,85001271
85001099,85001289
85001099,85001412
85001099,85001446
85001099,85001594
85001099,85043000
85001099,87184002
85001099,87184408
85001099,87184424
85001099,87184432
85001099,87184440
85001099,87700146
85001099,87700153
85001099,87715581
85001206,85001057
85001206,85001099
85001206,85001206
85001206,85001214
85001206,85001222
85001206,85001230
85001206,85001248
85001206,85001255
85001206,85001263
85001206,85001271
85001206,85001289
85001206,85001412
85001206,85001446
85001206,85001594
85001206,85043000
85001206,87184002
85001206,87184408
85001206,87184424
85001206,87184432
85001206,87184440
85001206,87700146
85001206,87700153
85001206,87715581
85001214,85001057
85001214,85001099
85001214,85001206
85001214,85001214
85001214,85001222
85001214,85001230
85001214,85001248
85001214,85001255
85001214,85001263
85001214,85001271
85001214,85001289
85001214,85001412
85001214,85001446
85001214,85001594
85001214,85043000
85001214,87184002
85001214,87184408
85001214,87184424
85001214,87184432
85001214,87184440
85001214,87700146
85001214,87700153
85001214,87715581
85001222,85001057
85001222,85001099
85001222,85001206
85001222,85001214
85001222,85001222
85001222,85001230
85001222,85001248
85001222,85001255
85001222,85001263
85001222,85001271
85001222,85001289
85001222,85001412
85001222,85001446
85001222,85001594
85001222,85043000
85001222,87184002
85001222,87184408
85001222,87184424
85001222,87184432
85001222,87184440
85001222,87700146
85001222,87700153
85001222,87715581
85001230,85001057
85001230,85001099
85001230,85001206
85001230,85001214
85001230,85001222
85001230,85001230
85001230,85001248
85001230,85001255
85001230,85001263
85001230,85001271
85001230,85001289
85001230,85001412
85001230,85001446
85001230,85001594
85001230,85043000
85001230,87184002
85001230,87184408
85001230,87184424
85001230,87184432
85001230,87184440
85001230,87700146
85001230,87700153
85001230,87715581
85001248,85001057
85001248,85001099
85001248,85001206
85001248,85001214
85001248,85001222
85001248,85001230
85001248,85001248
85001248,85001255
85001248,85001263
85001248,85001271
85001248,85001289
85001248,85001412
85001248,85001446
85001248,85001594
85001248,85043000
85001248,87184002
85001248,87184408
85001248,87184424
85001248,87184432
85001248,87184440
85001248,87700146
85001248,87700153
85001248,87715581
85001255,85001057
85001255,85001099
85001255,85001206
85001255,85001214
85001255,85001222
85001255,85001230
85001255,85001248
85001255,85001255
85001255,85001263
85001255,85001271
85001255,85001289
85001255,85001412
85001255,85001446
85001255,85001594
85001255,85043000
85001255,87184002
85001255,87184408
85001255,87184424
85001255,87184432
85001255,87184440
85001255,87700146
85001255,87700153
85001255,87715581
85001263,85001057
85001263,85001099
85001263,85001206
85001263,85001214
85001263,85001222
85001263,85001230
85001263,85001248
85001263,85001255
85001263,85001263
85001263,85001271
85001263,85001289
85001263,85001412
85001263,85001446
85001263,85001594
85001263,85043000
85001263,87184002
85001263,87184408
85001263,87184424
85001263,87184432
85001263,87184440
85001263,87700146
85001263,87700153
85001263,87715581
85001271,85001057
85001271,85001099
85001271,85001206
85001271,85001214
85001271,85001222
85001271,85001230
85001271,85001248
85001271,85001255
85001271,85001263
85001271,85001271
85001271,85001289
85001271,85001412
85001271,85001446
85001271,85001594
85001271,85043000
85001271,87184002
85001271,87184408
85001271,87184424
85001271,87184432
85001271,87184440
85001271,87700146
85001271,87700153
85001271,87715581
85001289,85001057
85001289,85001099
85001289,85001206
85001289,85001214
85001289,85001222
85001289,85001230
85001289,85001248
85001289,85001255
85001289,85001263
85001289,85001271
85001289,85001289
85001289,85001412
85001289,85001446
85001289,85001594
85001289,85043000
85001289,87184002
85001289,87184408
85001289,87184424
85001289,87184432
85001289,87184440
85001289,87700146
85001289,87700153
85001289,87715581
85001412,85001057
85001412,85001099
85001412,85001206
85001412,85001214
85001412,85001222
85001412,85001230
85001412,85001248
85001412,85001255
85001412,85001263
85001412,85001271
85001412,85001289
85001412,85001412
85001412,85001446
85001412,85001594
85001412,85043000
85001412,87184002
85001412,87184408
85001412,87184424
85001412,87184432
85001412,87184440
85001412,87700146
85001412,87700153
85001412,87715581
85001446,85001057
85001446,85001099
85001446,85001206
85001446,85001214
85001446,85001222
85001446,85001230
85001446,85001248
85001446,85001255
85001446,85001263
85001446,85001271
85001446,85001289
85001446,85001412
85001446,85001446
85001446,85001594
85001446,85043000
85001446,87184002
85001446,87184408
85001446,87184424
85001446,87184432
85001446,87184440
85001446,87700146
85001446,87700153
85001446,87715581
85001594,85001057
85001594,85001099
85001594,85001206
85001594,85001214
85001594,85001222
85001594,85001230
85001594,85001248
85001594,85001255
85001594,85001263
85001594,85001271
85001594,85001289
85001594,85001412
85001594,85001446
85001594,85001594
85001594,85043000
85001594,87184002
85001594,87184408
85001594,87184424
85001594,87184432
85001594,87184440
85001594,87700146
85001594,87700153
85001594,87715581
85010009,85010009
85010009,85010025
85010009,85010033
85010009,85010066
85010009,85010074
85010009,85010082
85010009,87745000
85010009,87745380
85010009,87745901
85010025,85010009
85010025,85010025
85010025,85010033
85010025,85010066
85010025,85010074
85010025,85010082
85010025,87745000
85010025,87745380
85010025,87745901
85010033,85010009
85010033,85010025
85010033,85010033
85010033,85010066
85010033,85010074
85010033,85010082
85010033,87745000
85010033,87745380
85010033,87745901
85010066,85010009
85010066,85010025
85010066,85010033
85010066,85010066
85010066,85010074
85010066,85010082
85010066,87745000
85010066,87745380
85010066,87745901
85010074,85010009
85010074,85010025
