origin,destination,count
Gare de Marne-la-Vallée-Chessy.,Gare de Aéropt-C-de-Gaulle-TGV,247
Gare de Aéropt-C-de-Gaulle-TGV,Gare de Marne-la-Vallée-Chessy.,240
Gare de Nantes,Gare de Angers-St-Laud,237
Gare de Massy-TGV,Gare de Marne-la-Vallée-Chessy.,202
Gare de Le Mans,Gare de Massy-TGV,174
Gare de Angers-St-Laud,Gare de Nantes,173
Gare de Paris-Montparnasse 1-2,Gare de Rennes,169
Gare de Angers-St-Laud,Gare de Le Mans,152
Gare de Le Mans,Gare de Paris-Montparnasse 1-2,148
Gare de Paris Gare du Nord,Gare de Arras,147
Gare de Arras,Gare de Paris Gare du Nord,144
Gare de Lyon-Part-Dieu,Gare de Valence-TGV,142
Gare de Bordeaux-St-Jean,Gare de Paris-Montparnasse 1-2,140
Gare de Rennes,Gare de Paris-Montparnasse 1-2,136
Gare de Marne-la-Vallée-Chessy.,Gare de Lyon-Part-Dieu,134
Gare de Marseille-St-Charles,Gare de Aix-en-Provence-TGV,134
Gare de Aix-en-Provence-TGV,Gare de Avignon-TGV,131
Gare de Angoulême,Gare de Poitiers,128
Gare de Paris-Montparnasse 1-2,Gare de Le Mans,124
Gare de Marne-la-Vallée-Chessy.,Gare de Massy-TGV,117
Gare de Aix-en-Provence-TGV,Gare de Marseille-St-Charles,116
Gare de TGV Haute-Picardie,Gare de Aéropt-C-de-Gaulle-TGV,112
Gare de Avignon-TGV,Gare de Aix-en-Provence-TGV,107
Gare de Bordeaux-St-Jean,Gare de Angoulême,106
Gare de Poitiers,Gare de Angoulême,105
Gare de Douai,Gare de Arras,102
Gare de Lyon-Perrache,Gare de Lyon-Part-Dieu,101
Gare de St-Pierre-des-Corps,Gare de Poitiers,99
Gare de Lorraine-TGV,Gare de Strasbourg,97
Gare de Massy-TGV,Gare de Le Mans,97
Gare de Poitiers,Gare de St-Pierre-des-Corps,95
Gare de Lyon-Part-Dieu,Gare de Lyon-Perrache,92
Gare de Angoulême,Gare de Bordeaux-St-Jean,91
Gare de Nîmes,Gare de Montpellier-Saint-Roch,87
Gare de Paris-Montparnasse 1-2,Gare de Vendôme-Villiers-s-Loir,87
Gare de Vendôme-Villiers-s-Loir,Gare de St-Pierre-des-Corps,86
Gare de Rennes,Gare de Laval,85
Gare de Paris-Montparnasse 1-2,Gare de Bordeaux-St-Jean,84
Gare de Le Mans,Gare de Angers-St-Laud,83
Gare de Vendôme-Villiers-s-Loir,Gare de Paris-Montparnasse 1-2,82
Gare de St-Pierre-des-Corps,Gare de Vendôme-Villiers-s-Loir,81
Gare de Paris-Gare-de-Lyon,Gare de Lyon-Saint-Exupery-Tgv,80
Gare de Laval,Gare de Le Mans,79
Gare de Lille Europe,Gare de Aéropt-C-de-Gaulle-TGV,79
Gare de Aéropt-C-de-Gaulle-TGV,Gare de Lille Europe,78
Gare de Aéropt-C-de-Gaulle-TGV,Gare de Lille Flandres,78
Gare de Bruxelles-M./Brussel-Z.,Gare de Lille Europe,78
Gare de Valence-TGV,Gare de Nîmes,78
Gare de Arras,Gare de Lille Europe,77
Gare de Paris-Est,Gare de Strasbourg,77
Gare de Dax,Gare de Bordeaux-St-Jean,76
Gare de Massy-TGV,Gare de St-Pierre-des-Corps,76
Gare de Strasbourg,Gare de Paris-Est,76
Gare de St-Pierre-des-Corps,Gare de Paris-Montparnasse 1-2,75
Gare de Dijon-Ville,Gare de Besançon-Franche-Comté,74
Gare de Rennes,Gare de Le Mans,74
